Year,County,Month,Male,Female,Unknown,Total
2018,Allegany,1,15,1,1,17
2018,Allegany,10,15,5,0,20
2018,Allegany,11,14,3,0,17
2018,Allegany,12,7,3,0,10
2018,Allegany,2,12,1,0,13
2018,Allegany,3,21,2,0,23
2018,Allegany,4,17,3,0,20
2018,Allegany,5,20,2,1,23
2018,Allegany,6,15,5,0,20
2018,Allegany,7,13,6,2,21
2018,Allegany,8,19,5,1,25
2018,Allegany,9,19,2,0,21
2019,Allegany,1,26,8,0,34
2019,Allegany,10,19,7,0,26
2019,Allegany,11,14,2,1,17
2019,Allegany,12,23,2,0,25
2019,Allegany,2,12,6,0,18
2019,Allegany,3,15,4,1,20
2019,Allegany,4,24,6,0,30
2019,Allegany,5,22,3,1,26
2019,Allegany,6,23,6,1,30
2019,Allegany,7,23,7,0,30
2019,Allegany,8,29,8,0,37
2019,Allegany,9,24,4,0,28
2020,Allegany,1,25,6,0,31
2020,Allegany,2,21,7,0,28
2020,Allegany,3,14,4,0,18
2020,Allegany,4,3,3,0,6
2020,Allegany,5,1,2,0,3
2020,Allegany,6,36,7,0,43
2018,Carroll,1,35,5,0,40
2018,Carroll,10,23,8,0,31
2018,Carroll,11,20,4,0,24
2018,Carroll,12,19,11,0,30
2018,Carroll,2,25,12,0,37
2018,Carroll,3,28,4,0,32
2018,Carroll,4,28,6,0,34
2018,Carroll,5,21,9,0,30
2018,Carroll,6,17,5,1,23
2018,Carroll,7,18,3,1,22
2018,Carroll,8,11,3,0,14
2018,Carroll,9,17,6,0,23
2019,Carroll,1,43,11,0,54
2019,Carroll,10,40,10,0,50
2019,Carroll,11,30,8,0,38
2019,Carroll,12,34,9,0,43
2019,Carroll,2,31,6,0,37
2019,Carroll,3,35,10,0,45
2019,Carroll,4,39,12,0,51
2019,Carroll,5,25,11,0,36
2019,Carroll,6,33,12,0,45
2019,Carroll,7,46,15,0,61
2019,Carroll,8,35,10,0,45
2019,Carroll,9,40,14,0,54
2020,Carroll,1,41,10,0,51
2020,Carroll,2,36,6,0,42
2020,Carroll,3,22,5,0,27
2020,Carroll,4,9,1,0,10
2020,Carroll,5,8,2,0,10
2020,Carroll,6,46,10,0,56
2018,Harford,1,50,15,1,66
2018,Harford,10,60,16,0,76
2018,Harford,11,57,21,0,78
2018,Harford,12,55,12,0,67
2018,Harford,2,46,17,2,65
2018,Harford,3,51,8,1,60
2018,Harford,4,33,12,1,46
2018,Harford,5,43,11,1,55
2018,Harford,6,38,13,5,56
2018,Harford,7,36,8,0,44
2018,Harford,8,33,13,1,47
2018,Harford,9,34,11,0,45
2019,Harford,1,55,25,0,80
2019,Harford,10,47,18,0,65
2019,Harford,11,40,7,0,47
2019,Harford,12,56,14,0,70
2019,Harford,2,54,12,0,66
2019,Harford,3,39,24,0,63
2019,Harford,4,60,17,1,78
2019,Harford,5,61,21,0,82
2019,Harford,6,70,24,0,94
2019,Harford,7,76,19,1,96
2019,Harford,8,56,22,0,78
2019,Harford,9,56,19,0,75
2020,Harford,1,66,20,1,87
2020,Harford,2,56,15,0,71
2020,Harford,3,35,13,1,49
2020,Harford,4,7,2,0,9
2020,Harford,5,5,2,0,7
2020,Harford,6,95,19,0,114
2018,Saint_Marys,1,30,10,0,40
2018,Saint_Marys,10,33,17,0,50
2018,Saint_Marys,11,33,11,0,44
2018,Saint_Marys,12,26,8,0,34
2018,Saint_Marys,2,26,8,0,34
2018,Saint_Marys,3,25,9,1,35
2018,Saint_Marys,4,34,9,2,45
2018,Saint_Marys,5,33,7,1,41
2018,Saint_Marys,6,27,13,1,41
2018,Saint_Marys,7,37,13,1,51
2018,Saint_Marys,8,35,14,0,49
2018,Saint_Marys,9,38,15,1,54
2019,Saint_Marys,1,24,10,0,34
2019,Saint_Marys,10,42,15,0,57
2019,Saint_Marys,11,37,10,0,47
2019,Saint_Marys,12,40,14,0,54
2019,Saint_Marys,2,31,8,0,39
2019,Saint_Marys,3,35,18,0,53
2019,Saint_Marys,4,37,13,1,51
2019,Saint_Marys,5,39,11,0,50
2019,Saint_Marys,6,30,14,0,44
2019,Saint_Marys,7,41,13,0,54
2019,Saint_Marys,8,35,16,1,52
2019,Saint_Marys,9,37,13,0,50
2020,Saint_Marys,1,54,20,0,74
2020,Saint_Marys,2,36,10,2,48
2020,Saint_Marys,3,35,5,1,41
2020,Saint_Marys,4,8,7,0,15
2020,Saint_Marys,5,25,10,0,35
2020,Saint_Marys,6,46,11,1,58
2018,Anne_Arundel,1,65,22,0,87
2018,Anne_Arundel,10,105,39,0,144
2018,Anne_Arundel,11,109,33,1,143
2018,Anne_Arundel,12,104,26,1,131
2018,Anne_Arundel,2,77,25,2,104
2018,Anne_Arundel,3,85,30,2,117
2018,Anne_Arundel,4,93,38,3,134
2018,Anne_Arundel,5,90,37,2,129
2018,Anne_Arundel,6,75,31,2,108
2018,Anne_Arundel,7,83,41,5,129
2018,Anne_Arundel,8,95,34,1,130
2018,Anne_Arundel,9,82,27,0,109
2019,Anne_Arundel,1,125,41,1,167
2019,Anne_Arundel,10,113,43,2,158
2019,Anne_Arundel,11,102,42,3,147
2019,Anne_Arundel,12,126,41,3,170
2019,Anne_Arundel,2,103,40,1,144
2019,Anne_Arundel,3,101,26,1,128
2019,Anne_Arundel,4,126,46,1,173
2019,Anne_Arundel,5,119,55,7,181
2019,Anne_Arundel,6,106,53,3,162
2019,Anne_Arundel,7,119,46,4,169
2019,Anne_Arundel,8,130,48,4,182
2019,Anne_Arundel,9,123,45,2,170
2020,Anne_Arundel,1,103,45,8,156
2020,Anne_Arundel,2,94,28,7,129
2020,Anne_Arundel,3,77,15,4,96
2020,Anne_Arundel,4,3,5,1,9
2020,Anne_Arundel,5,40,24,5,69
2020,Anne_Arundel,6,126,47,11,184
2018,Cecil,1,26,4,1,31
2018,Cecil,10,41,10,0,51
2018,Cecil,11,18,8,0,26
2018,Cecil,12,31,6,0,37
2018,Cecil,2,22,5,1,28
2018,Cecil,3,12,8,1,21
2018,Cecil,4,24,10,1,35
2018,Cecil,5,29,3,1,33
2018,Cecil,6,32,5,2,39
2018,Cecil,7,28,5,1,34
2018,Cecil,8,24,7,1,32
2018,Cecil,9,33,6,0,39
2019,Cecil,1,37,10,0,47
2019,Cecil,10,41,7,0,48
2019,Cecil,11,26,15,0,41
2019,Cecil,12,42,8,0,50
2019,Cecil,2,28,9,0,37
2019,Cecil,3,46,12,0,58
2019,Cecil,4,49,17,0,66
2019,Cecil,5,36,12,0,48
2019,Cecil,6,42,9,0,51
2019,Cecil,7,41,7,0,48
2019,Cecil,8,33,14,0,47
2019,Cecil,9,34,11,0,45
2020,Cecil,1,36,8,0,44
2020,Cecil,2,27,5,0,32
2020,Cecil,3,24,7,0,31
2020,Cecil,4,4,0,0,4
2020,Cecil,5,31,6,0,37
2020,Cecil,6,57,17,0,74
2018,Howard,1,45,18,0,63
2018,Howard,10,37,7,0,44
2018,Howard,11,33,10,0,43
2018,Howard,12,41,15,0,56
2018,Howard,2,46,8,3,57
2018,Howard,3,48,8,0,56
2018,Howard,4,30,8,0,38
2018,Howard,5,33,11,2,46
2018,Howard,6,30,5,1,36
2018,Howard,7,28,9,1,38
2018,Howard,8,31,9,0,40
2018,Howard,9,38,5,0,43
2019,Howard,1,44,7,0,51
2019,Howard,10,51,13,0,64
2019,Howard,11,42,14,0,56
2019,Howard,12,46,13,1,60
2019,Howard,2,40,10,0,50
2019,Howard,3,34,10,0,44
2019,Howard,4,39,18,0,57
2019,Howard,5,47,15,0,62
2019,Howard,6,40,14,0,54
2019,Howard,7,41,26,0,67
2019,Howard,8,51,16,1,68
2019,Howard,9,46,17,0,63
2020,Howard,1,34,9,0,43
2020,Howard,2,41,9,0,50
2020,Howard,3,29,10,1,40
2020,Howard,4,20,4,0,24
2020,Howard,5,22,6,1,29
2020,Howard,6,52,17,0,69
2018,Somerset,1,6,1,1,8
2018,Somerset,10,8,2,0,10
2018,Somerset,11,5,3,0,8
2018,Somerset,12,4,3,0,7
2018,Somerset,2,8,1,1,10
2018,Somerset,3,9,2,2,13
2018,Somerset,4,5,1,0,6
2018,Somerset,5,8,6,0,14
2018,Somerset,6,7,4,0,11
2018,Somerset,7,7,3,0,10
2018,Somerset,8,9,4,0,13
2018,Somerset,9,7,3,0,10
2019,Somerset,1,3,1,0,4
2019,Somerset,10,15,4,0,19
2019,Somerset,11,10,4,0,14
2019,Somerset,12,12,5,0,17
2019,Somerset,2,8,1,1,10
2019,Somerset,3,8,2,0,10
2019,Somerset,4,8,1,0,9
2019,Somerset,5,11,0,2,13
2019,Somerset,6,17,1,0,18
2019,Somerset,7,4,4,0,8
2019,Somerset,8,12,0,0,12
2019,Somerset,9,14,2,1,17
2020,Somerset,1,13,2,0,15
2020,Somerset,2,10,3,0,13
2020,Somerset,3,3,1,0,4
2020,Somerset,4,2,2,0,4
2020,Somerset,5,4,1,0,5
2020,Somerset,6,14,1,0,15
2018,Baltimore_City,1,204,62,7,273
2018,Baltimore_City,10,215,81,5,301
2018,Baltimore_City,11,168,76,3,247
2018,Baltimore_City,12,180,63,7,250
2018,Baltimore_City,2,186,49,5,240
2018,Baltimore_City,3,175,50,7,232
2018,Baltimore_City,4,214,87,5,306
2018,Baltimore_City,5,259,83,3,345
2018,Baltimore_City,6,215,87,5,307
2018,Baltimore_City,7,217,96,5,318
2018,Baltimore_City,8,210,92,3,305
2018,Baltimore_City,9,180,69,2,251
2019,Baltimore_City,1,212,63,4,279
2019,Baltimore_City,10,195,81,6,282
2019,Baltimore_City,11,177,47,6,230
2019,Baltimore_City,12,175,63,4,242
2019,Baltimore_City,2,154,54,2,210
2019,Baltimore_City,3,188,67,1,256
2019,Baltimore_City,4,201,68,6,275
2019,Baltimore_City,5,211,93,9,313
2019,Baltimore_City,6,183,96,7,286
2019,Baltimore_City,7,224,78,12,314
2019,Baltimore_City,8,216,73,7,296
2019,Baltimore_City,9,209,96,6,311
2020,Baltimore_City,1,232,69,5,306
2020,Baltimore_City,2,178,51,7,236
2020,Baltimore_City,3,98,32,6,136
2020,Baltimore_City,4,15,7,0,22
2020,Baltimore_City,5,32,16,1,49
2020,Baltimore_City,6,434,164,8,606
2018,Charles,1,21,11,3,35
2018,Charles,10,51,14,0,65
2018,Charles,11,60,22,0,82
2018,Charles,12,50,14,1,65
2018,Charles,2,44,16,4,64
2018,Charles,3,45,14,3,62
2018,Charles,4,48,17,6,71
2018,Charles,5,32,8,2,42
2018,Charles,6,42,16,7,65
2018,Charles,7,28,17,7,52
