Year,County,Month,Male,Female,Unknown,Total
2018,Allegany,1,0,0,0,0
2018,Allegany,10,0,0,0,0
2018,Allegany,11,0,0,0,0
2018,Allegany,12,0,0,0,0
2018,Allegany,2,0,0,0,0
2018,Allegany,3,0,0,0,0
2018,Allegany,4,0,0,0,0
2018,Allegany,5,0,0,0,0
2018,Allegany,6,0,0,0,0
2018,Allegany,7,0,0,0,0
2018,Allegany,8,0,0,0,0
2018,Allegany,9,0,0,0,0
2019,Allegany,1,0,0,0,0
2019,Allegany,10,0,0,0,0
2019,Allegany,11,0,0,0,0
2019,Allegany,12,0,0,0,0
2019,Allegany,2,0,0,0,0
2019,Allegany,3,0,0,0,0
2019,Allegany,4,0,0,0,0
2019,Allegany,5,0,0,0,0
2019,Allegany,6,0,0,0,0
2019,Allegany,7,0,0,0,0
2019,Allegany,8,0,0,0,0
2019,Allegany,9,0,0,0,0
2020,Allegany,1,0,0,0,0
2020,Allegany,2,0,0,0,0
2020,Allegany,3,0,0,0,0
2020,Allegany,4,0,0,0,0
2020,Allegany,5,0,0,0,0
2020,Allegany,6,0,0,0,0
2018,Carroll,1,0,0,0,0
2018,Carroll,10,0,0,0,0
2018,Carroll,11,0,1,0,1
2018,Carroll,12,0,0,0,0
2018,Carroll,2,0,0,0,0
2018,Carroll,3,0,0,0,0
2018,Carroll,4,0,0,0,0
2018,Carroll,5,0,3,0,3
2018,Carroll,6,0,0,0,0
2018,Carroll,7,0,0,0,0
2018,Carroll,8,0,0,0,0
2018,Carroll,9,0,0,0,0
2019,Carroll,1,0,1,0,1
2019,Carroll,10,0,2,0,2
2019,Carroll,11,0,0,0,0
2019,Carroll,12,0,0,0,0
2019,Carroll,2,4,0,0,4
2019,Carroll,3,2,1,1,4
2019,Carroll,4,2,0,0,2
2019,Carroll,5,4,4,0,8
2019,Carroll,6,0,1,0,1
2019,Carroll,7,0,0,0,0
2019,Carroll,8,0,0,0,0
2019,Carroll,9,0,0,0,0
2020,Carroll,1,0,0,0,0
2020,Carroll,2,1,1,1,3
2020,Carroll,3,3,0,0,3
2020,Carroll,4,1,0,0,1
2020,Carroll,5,1,0,0,1
2020,Carroll,6,0,0,0,0
2018,Harford,1,0,0,0,0
2018,Harford,10,0,0,0,0
2018,Harford,11,0,0,0,0
2018,Harford,12,3,0,0,3
2018,Harford,2,0,0,0,0
2018,Harford,3,0,0,0,0
2018,Harford,4,0,0,0,0
2018,Harford,5,2,1,0,3
2018,Harford,6,0,0,0,0
2018,Harford,7,0,0,0,0
2018,Harford,8,0,0,0,0
2018,Harford,9,0,0,0,0
2019,Harford,1,0,0,0,0
2019,Harford,10,0,0,0,0
2019,Harford,11,0,0,0,0
2019,Harford,12,0,0,0,0
2019,Harford,2,0,0,0,0
2019,Harford,3,0,1,0,1
2019,Harford,4,0,1,0,1
2019,Harford,5,0,0,0,0
2019,Harford,6,0,1,0,1
2019,Harford,7,0,1,0,1
2019,Harford,8,0,0,0,0
2019,Harford,9,2,0,0,2
2020,Harford,1,0,0,0,0
2020,Harford,2,0,0,0,0
2020,Harford,3,0,0,0,0
2020,Harford,4,0,0,0,0
2020,Harford,5,0,0,0,0
2020,Harford,6,0,0,0,0
2018,Saint_Marys,1,0,0,0,0
2018,Saint_Marys,10,0,0,0,0
2018,Saint_Marys,11,0,0,0,0
2018,Saint_Marys,12,0,0,0,0
2018,Saint_Marys,2,0,0,0,0
2018,Saint_Marys,3,0,0,0,0
2018,Saint_Marys,4,0,0,0,0
2018,Saint_Marys,5,0,0,0,0
2018,Saint_Marys,6,0,0,0,0
2018,Saint_Marys,7,0,0,0,0
2018,Saint_Marys,8,0,0,0,0
2018,Saint_Marys,9,0,0,0,0
2019,Saint_Marys,1,0,0,0,0
2019,Saint_Marys,10,0,0,0,0
2019,Saint_Marys,11,0,0,0,0
2019,Saint_Marys,12,0,0,0,0
2019,Saint_Marys,2,0,0,0,0
2019,Saint_Marys,3,0,0,0,0
2019,Saint_Marys,4,0,0,0,0
2019,Saint_Marys,5,0,0,0,0
2019,Saint_Marys,6,0,0,0,0
2019,Saint_Marys,7,0,0,0,0
2019,Saint_Marys,8,0,0,0,0
2019,Saint_Marys,9,0,0,0,0
2020,Saint_Marys,1,0,0,0,0
2020,Saint_Marys,2,0,0,0,0
2020,Saint_Marys,3,0,0,0,0
2020,Saint_Marys,4,0,0,0,0
2020,Saint_Marys,5,0,0,0,0
2020,Saint_Marys,6,0,0,0,0
2018,Anne_Arundel,1,0,0,0,0
2018,Anne_Arundel,10,0,0,0,0
2018,Anne_Arundel,11,0,0,0,0
2018,Anne_Arundel,12,0,0,0,0
2018,Anne_Arundel,2,0,0,0,0
2018,Anne_Arundel,3,0,0,0,0
2018,Anne_Arundel,4,1,0,0,1
2018,Anne_Arundel,5,0,0,0,0
2018,Anne_Arundel,6,0,0,0,0
2018,Anne_Arundel,7,0,0,0,0
2018,Anne_Arundel,8,0,0,1,1
2018,Anne_Arundel,9,0,0,0,0
2019,Anne_Arundel,1,0,0,0,0
2019,Anne_Arundel,10,0,5,0,5
2019,Anne_Arundel,11,0,0,0,0
2019,Anne_Arundel,12,1,0,0,1
2019,Anne_Arundel,2,0,0,0,0
2019,Anne_Arundel,3,0,0,0,0
2019,Anne_Arundel,4,0,0,0,0
2019,Anne_Arundel,5,1,0,0,1
2019,Anne_Arundel,6,1,0,0,1
2019,Anne_Arundel,7,0,0,0,0
2019,Anne_Arundel,8,1,0,0,1
2019,Anne_Arundel,9,0,0,0,0
2020,Anne_Arundel,1,1,0,0,1
2020,Anne_Arundel,2,1,0,0,1
2020,Anne_Arundel,3,0,0,0,0
2020,Anne_Arundel,4,0,0,0,0
2020,Anne_Arundel,5,0,0,0,0
2020,Anne_Arundel,6,0,0,0,0
2018,Cecil,1,0,0,0,0
2018,Cecil,10,0,0,0,0
2018,Cecil,11,0,0,0,0
2018,Cecil,12,0,0,0,0
2018,Cecil,2,0,0,0,0
2018,Cecil,3,0,0,0,0
2018,Cecil,4,0,0,0,0
2018,Cecil,5,0,0,0,0
2018,Cecil,6,0,0,0,0
2018,Cecil,7,0,0,0,0
2018,Cecil,8,0,0,0,0
2018,Cecil,9,0,0,0,0
2019,Cecil,1,0,0,0,0
2019,Cecil,10,0,0,0,0
2019,Cecil,11,0,0,0,0
2019,Cecil,12,0,0,0,0
2019,Cecil,2,0,0,0,0
2019,Cecil,3,0,0,0,0
2019,Cecil,4,0,0,0,0
2019,Cecil,5,0,0,0,0
2019,Cecil,6,0,0,0,0
2019,Cecil,7,0,0,0,0
2019,Cecil,8,0,0,0,0
2019,Cecil,9,0,0,0,0
2020,Cecil,1,0,0,0,0
2020,Cecil,2,0,0,0,0
2020,Cecil,3,0,0,0,0
2020,Cecil,4,0,0,0,0
2020,Cecil,5,0,0,0,0
2020,Cecil,6,0,0,0,0
2018,Howard,1,1,5,0,6
2018,Howard,10,1,0,0,1
2018,Howard,11,0,0,0,0
2018,Howard,12,0,0,0,0
2018,Howard,2,2,0,0,2
2018,Howard,3,2,1,1,4
2018,Howard,4,1,0,0,1
2018,Howard,5,0,1,2,3
2018,Howard,6,0,0,2,2
2018,Howard,7,0,0,0,0
2018,Howard,8,0,0,0,0
2018,Howard,9,0,0,1,1
2019,Howard,1,1,0,0,1
2019,Howard,10,1,0,0,1
2019,Howard,11,1,1,1,3
2019,Howard,12,0,0,0,0
2019,Howard,2,0,1,0,1
2019,Howard,3,0,0,0,0
2019,Howard,4,0,0,1,1
2019,Howard,5,5,1,2,8
2019,Howard,6,0,1,0,1
2019,Howard,7,0,0,0,0
2019,Howard,8,1,0,0,1
2019,Howard,9,0,0,0,0
2020,Howard,1,1,0,0,1
2020,Howard,2,0,0,0,0
2020,Howard,3,4,0,0,4
2020,Howard,4,1,0,0,1
2020,Howard,5,0,0,0,0
2020,Howard,6,0,1,0,1
2018,Somerset,1,0,0,0,0
2018,Somerset,10,0,0,0,0
2018,Somerset,11,0,0,0,0
2018,Somerset,12,0,0,0,0
2018,Somerset,2,0,0,0,0
2018,Somerset,3,0,0,0,0
2018,Somerset,4,0,0,0,0
2018,Somerset,5,0,0,0,0
2018,Somerset,6,0,0,0,0
2018,Somerset,7,0,0,0,0
2018,Somerset,8,0,0,0,0
2018,Somerset,9,0,0,0,0
2019,Somerset,1,0,0,0,0
2019,Somerset,10,0,0,0,0
2019,Somerset,11,0,0,0,0
2019,Somerset,12,0,0,0,0
2019,Somerset,2,0,0,0,0
2019,Somerset,3,0,0,0,0
2019,Somerset,4,0,0,0,0
2019,Somerset,5,0,0,0,0
2019,Somerset,6,0,0,0,0
2019,Somerset,7,0,0,0,0
2019,Somerset,8,0,0,0,0
2019,Somerset,9,0,0,0,0
2020,Somerset,1,0,0,0,0
2020,Somerset,2,0,0,0,0
2020,Somerset,3,0,0,0,0
2020,Somerset,4,0,0,0,0
2020,Somerset,5,0,0,0,0
2020,Somerset,6,0,0,0,0
2018,Baltimore_City,1,4,6,0,10
2018,Baltimore_City,10,6,2,1,9
2018,Baltimore_City,11,0,0,0,0
2018,Baltimore_City,12,1,0,1,2
2018,Baltimore_City,2,3,1,0,4
2018,Baltimore_City,3,4,10,0,14
2018,Baltimore_City,4,4,2,1,7
2018,Baltimore_City,5,7,11,2,20
2018,Baltimore_City,6,3,3,0,6
2018,Baltimore_City,7,2,0,0,2
2018,Baltimore_City,8,0,0,0,0
2018,Baltimore_City,9,2,2,1,5
2019,Baltimore_City,1,4,1,1,6
2019,Baltimore_City,10,0,0,0,0
2019,Baltimore_City,11,0,0,0,0
2019,Baltimore_City,12,0,0,0,0
2019,Baltimore_City,2,1,10,0,11
2019,Baltimore_City,3,8,8,0,16
2019,Baltimore_City,4,3,5,0,8
2019,Baltimore_City,5,3,9,0,12
2019,Baltimore_City,6,0,0,0,0
2019,Baltimore_City,7,0,0,0,0
2019,Baltimore_City,8,0,0,0,0
2019,Baltimore_City,9,0,0,0,0
2020,Baltimore_City,1,0,0,0,0
2020,Baltimore_City,2,0,0,0,0
2020,Baltimore_City,3,0,0,0,0
2020,Baltimore_City,4,0,0,0,0
2020,Baltimore_City,5,0,0,0,0
2020,Baltimore_City,6,0,0,0,0
2018,Charles,1,0,0,0,0
2018,Charles,10,0,0,0,0
2018,Charles,11,0,0,0,0
2018,Charles,12,0,0,0,0
2018,Charles,2,0,0,0,0
2018,Charles,3,0,0,0,0
2018,Charles,4,0,0,0,0
2018,Charles,5,0,0,0,0
2018,Charles,6,0,0,0,0
2018,Charles,7,0,0,0,0
2018,Charles,8,0,0,0,0
2018,Charles,9,0,0,0,0
2019,Charles,1,0,0,0,0
2019,Charles,10,0,0,0,0
2019,Charles,11,0,0,0,0
2019,Charles,12,0,0,0,0
2019,Charles,2,0,0,0,0
2019,Charles,3,0,0,0,0
2019,Charles,4,0,0,0,0
2019,Charles,5,0,0,0,0
2019,Charles,6,0,0,0,0
2019,Charles,7,0,0,0,0
2019,Charles,8,0,0,0,0
2019,Charles,9,1,0,0,1
2020,Charles,1,0,0,0,0
2020,Charles,2,0,0,0,0
2020,Charles,3,0,0,0,0
2020,Charles,4,0,0,0,0
2020,Charles,5,0,0,0,0
2020,Charles,6,0,0,0,0
2018,Kent,1,0,0,0,0
2018,Kent,10,0,0,0,0
2018,Kent,11,0,0,0,0
2018,Kent,12,0,0,0,0
2018,Kent,2,0,0,0,0
2018,Kent,3,0,0,0,0
2018,Kent,4,0,0,0,0
2018,Kent,5,0,0,0,0
2018,Kent,6,0,0,0,0
2018,Kent,7,0,0,0,0
2018,Kent,8,0,0,0,0
2018,Kent,9,0,0,0,0
2019,Kent,1,0,0,0,0
2019,Kent,10,0,0,0,0
2019,Kent,11,0,0,0,0
2019,Kent,12,0,0,0,0
2019,Kent,2,0,0,0,0
2019,Kent,3,0,0,0,0
2019,Kent,4,0,0,0,0
2019,Kent,5,0,0,0,0
2019,Kent,6,0,0,0,0
2019,Kent,7,0,0,0,0
2019,Kent,8,0,0,0,0
2019,Kent,9,0,0,0,0
2020,Kent,1,0,0,0,0
2020,Kent,2,0,0,0,0
2020,Kent,3,0,0,0,0
2020,Kent,4,0,0,0,0
2020,Kent,5,0,0,0,0
2020,Kent,6,0,0,0,0
2018,Talbot,1,0,0,0,0
2018,Talbot,10,0,0,0,0
2018,Talbot,11,0,0,0,0
2018,Talbot,12,0,0,0,0
2018,Talbot,2,0,0,0,0
2018,Talbot,3,0,0,0,0
2018,Talbot,4,0,0,0,0
2018,Talbot,5,0,0,0,0
2018,Talbot,6,0,0,0,0
2018,Talbot,7,0,0,0,0
2018,Talbot,8,0,0,0,0
2018,Talbot,9,0,0,0,0
2019,Talbot,1,0,0,0,0
2019,Talbot,10,0,0,0,0
2019,Talbot,11,0,0,0,0
2019,Talbot,12,0,0,0,0
2019,Talbot,2,0,0,0,0
2019,Talbot,3,0,0,0,0
2019,Talbot,4,0,0,0,0
2019,Talbot,5,0,0,0,0
2019,Talbot,6,0,0,0,0
2019,Talbot,7,0,0,0,0
2019,Talbot,8,0,0,0,0
2019,Talbot,9,0,0,0,0
2020,Talbot,1,0,0,0,0
2020,Talbot,2,0,0,0,0
2020,Talbot,3,0,0,0,0
2020,Talbot,4,0,0,0,0
2020,Talbot,5,0,0,0,0
2020,Talbot,6,0,0,0,0
2018,Baltimore,1,0,0,0,0
2018,Baltimore,10,0,0,0,0
2018,Baltimore,11,0,0,0,0
