Year,County,Month,Male,Female,Unknown,Total
2018,Allegany,1,3,3,0,6
2018,Allegany,10,8,7,0,15
2018,Allegany,11,5,6,0,11
2018,Allegany,12,11,3,0,14
2018,Allegany,2,3,2,0,5
2018,Allegany,3,7,2,0,9
2018,Allegany,4,6,7,0,13
2018,Allegany,5,5,9,0,14
2018,Allegany,6,4,1,0,5
2018,Allegany,7,4,1,0,5
2018,Allegany,8,10,2,1,13
2018,Allegany,9,4,6,0,10
2019,Allegany,1,3,6,0,9
2019,Allegany,10,10,5,0,15
2019,Allegany,11,4,2,0,6
2019,Allegany,12,7,1,0,8
2019,Allegany,2,4,3,0,7
2019,Allegany,3,3,5,0,8
2019,Allegany,4,7,4,0,11
2019,Allegany,5,22,7,0,29
2019,Allegany,6,7,3,0,10
2019,Allegany,7,9,8,0,17
2019,Allegany,8,10,2,0,12
2019,Allegany,9,10,6,0,16
2020,Allegany,1,6,4,0,10
2020,Allegany,2,5,5,0,10
2020,Allegany,3,3,0,0,3
2020,Allegany,4,0,0,0,0
2020,Allegany,5,0,0,0,0
2020,Allegany,6,14,14,0,28
2018,Carroll,1,3,7,4,14
2018,Carroll,10,11,5,0,16
2018,Carroll,11,10,7,0,17
2018,Carroll,12,9,6,0,15
2018,Carroll,2,14,10,0,24
2018,Carroll,3,14,12,1,27
2018,Carroll,4,16,8,0,24
2018,Carroll,5,11,4,0,15
2018,Carroll,6,1,0,1,2
2018,Carroll,7,6,5,0,11
2018,Carroll,8,3,3,0,6
2018,Carroll,9,1,2,0,3
2019,Carroll,1,16,4,0,20
2019,Carroll,10,24,6,0,30
2019,Carroll,11,8,12,0,20
2019,Carroll,12,15,5,0,20
2019,Carroll,2,5,4,0,9
2019,Carroll,3,2,13,0,15
2019,Carroll,4,9,6,0,15
2019,Carroll,5,14,9,0,23
2019,Carroll,6,17,15,1,33
2019,Carroll,7,9,8,0,17
2019,Carroll,8,6,7,0,13
2019,Carroll,9,13,9,0,22
2020,Carroll,1,15,9,0,24
2020,Carroll,2,8,3,0,11
2020,Carroll,3,14,13,0,27
2020,Carroll,4,2,0,0,2
2020,Carroll,5,0,3,0,3
2020,Carroll,6,24,15,0,39
2018,Harford,1,16,15,0,31
2018,Harford,10,19,10,0,29
2018,Harford,11,13,18,1,32
2018,Harford,12,18,19,1,38
2018,Harford,2,12,9,0,21
2018,Harford,3,11,10,0,21
2018,Harford,4,10,10,0,20
2018,Harford,5,25,11,0,36
2018,Harford,6,12,6,1,19
2018,Harford,7,9,12,2,23
2018,Harford,8,10,10,1,21
2018,Harford,9,19,7,1,27
2019,Harford,1,12,7,0,19
2019,Harford,10,26,19,0,45
2019,Harford,11,11,16,0,27
2019,Harford,12,13,9,0,22
2019,Harford,2,15,13,0,28
2019,Harford,3,14,16,0,30
2019,Harford,4,20,14,1,35
2019,Harford,5,27,18,0,45
2019,Harford,6,23,15,0,38
2019,Harford,7,25,24,0,49
2019,Harford,8,15,16,2,33
2019,Harford,9,18,14,0,32
2020,Harford,1,20,17,0,37
2020,Harford,2,17,11,0,28
2020,Harford,3,7,9,0,16
2020,Harford,4,2,0,0,2
2020,Harford,5,7,4,0,11
2020,Harford,6,27,21,0,48
2018,Saint_Marys,1,7,3,0,10
2018,Saint_Marys,10,22,8,0,30
2018,Saint_Marys,11,15,3,0,18
2018,Saint_Marys,12,7,7,0,14
2018,Saint_Marys,2,16,5,0,21
2018,Saint_Marys,3,10,10,0,20
2018,Saint_Marys,4,9,5,0,14
2018,Saint_Marys,5,12,11,0,23
2018,Saint_Marys,6,11,13,0,24
2018,Saint_Marys,7,3,8,0,11
2018,Saint_Marys,8,12,7,0,19
2018,Saint_Marys,9,15,14,0,29
2019,Saint_Marys,1,11,4,0,15
2019,Saint_Marys,10,23,6,0,29
2019,Saint_Marys,11,12,5,0,17
2019,Saint_Marys,12,16,5,0,21
2019,Saint_Marys,2,7,7,0,14
2019,Saint_Marys,3,11,14,0,25
2019,Saint_Marys,4,14,7,1,22
2019,Saint_Marys,5,15,20,0,35
2019,Saint_Marys,6,17,13,0,30
2019,Saint_Marys,7,13,14,0,27
2019,Saint_Marys,8,18,15,0,33
2019,Saint_Marys,9,23,15,0,38
2020,Saint_Marys,1,8,7,0,15
2020,Saint_Marys,2,13,6,0,19
2020,Saint_Marys,3,8,10,0,18
2020,Saint_Marys,4,0,0,0,0
2020,Saint_Marys,5,2,1,0,3
2020,Saint_Marys,6,32,35,2,69
2018,Anne_Arundel,1,34,16,1,51
2018,Anne_Arundel,10,48,44,0,92
2018,Anne_Arundel,11,49,33,2,84
2018,Anne_Arundel,12,37,40,1,78
2018,Anne_Arundel,2,34,18,2,54
2018,Anne_Arundel,3,42,30,0,72
2018,Anne_Arundel,4,36,23,0,59
2018,Anne_Arundel,5,35,31,2,68
2018,Anne_Arundel,6,24,29,4,57
2018,Anne_Arundel,7,37,26,4,67
2018,Anne_Arundel,8,37,32,2,71
2018,Anne_Arundel,9,24,15,2,41
2019,Anne_Arundel,1,43,33,1,77
2019,Anne_Arundel,10,60,44,0,104
2019,Anne_Arundel,11,33,38,2,73
2019,Anne_Arundel,12,46,35,5,86
2019,Anne_Arundel,2,44,35,3,82
2019,Anne_Arundel,3,41,35,0,76
2019,Anne_Arundel,4,43,42,2,87
2019,Anne_Arundel,5,42,48,4,94
2019,Anne_Arundel,6,54,50,3,107
2019,Anne_Arundel,7,59,38,3,100
2019,Anne_Arundel,8,61,40,8,109
2019,Anne_Arundel,9,58,36,5,99
2020,Anne_Arundel,1,35,51,5,91
2020,Anne_Arundel,2,31,35,4,70
2020,Anne_Arundel,3,26,17,1,44
2020,Anne_Arundel,4,1,9,0,10
2020,Anne_Arundel,5,16,13,2,31
2020,Anne_Arundel,6,67,62,6,135
2018,Cecil,1,6,2,0,8
2018,Cecil,10,5,3,0,8
2018,Cecil,11,7,7,0,14
2018,Cecil,12,3,9,0,12
2018,Cecil,2,3,2,1,6
2018,Cecil,3,3,6,1,10
2018,Cecil,4,9,3,0,12
2018,Cecil,5,4,4,0,8
2018,Cecil,6,6,3,1,10
2018,Cecil,7,10,4,0,14
2018,Cecil,8,5,5,0,10
2018,Cecil,9,6,0,0,6
2019,Cecil,1,8,4,0,12
2019,Cecil,10,10,5,0,15
2019,Cecil,11,4,1,0,5
2019,Cecil,12,8,3,0,11
2019,Cecil,2,1,3,1,5
2019,Cecil,3,8,6,0,14
2019,Cecil,4,10,15,0,25
2019,Cecil,5,9,8,0,17
2019,Cecil,6,7,5,0,12
2019,Cecil,7,11,4,0,15
2019,Cecil,8,15,10,0,25
2019,Cecil,9,13,6,0,19
2020,Cecil,1,13,6,0,19
2020,Cecil,2,6,3,0,9
2020,Cecil,3,3,1,0,4
2020,Cecil,4,2,1,0,3
2020,Cecil,5,14,7,0,21
2020,Cecil,6,18,19,0,37
2018,Howard,1,17,9,0,26
2018,Howard,10,7,9,1,17
2018,Howard,11,10,10,0,20
2018,Howard,12,6,6,0,12
2018,Howard,2,10,13,0,23
2018,Howard,3,5,12,0,17
